date,region,product_category,product_name,units_sold,unit_price,revenue,sales_target,sales_rep,customer_segment
2024-01-15,North,Electronics,Wireless Headphones,25,79.99,1999.75,1800,REP001,Consumer
2024-01-18,South,Clothing,Winter Jacket,40,89.99,3599.60,3200,REP002,SMB
2024-01-22,East,Home & Garden,Garden Tools Set,15,129.99,1949.85,2000,REP003,Consumer
2024-01-25,West,Electronics,Smart Speaker,30,149.99,4499.70,4000,REP004,Enterprise
2024-01-28,Central,Clothing,Summer Dress,50,49.99,2499.50,2500,REP005,Consumer
2024-02-02,North,Home & Garden,Lawn Mower,8,299.99,2399.92,2200,REP001,SMB
2024-02-05,South,Electronics,Tablet,20,329.99,6599.80,6000,REP002,Enterprise
2024-02-10,East,Clothing,Business Suit,12,249.99,2999.88,2800,REP003,Enterprise
2024-02-14,West,Home & Garden,Patio Furniture,5,599.99,2999.95,3200,REP004,SMB
2024-02-18,Central,Electronics,Laptop,15,899.99,13499.85,12000,REP005,Enterprise
2024-02-22,North,Clothing,Casual Shoes,35,69.99,2449.65,2300,REP001,Consumer
2024-02-26,South,Home & Garden,BBQ Grill,10,399.99,3999.90,3800,REP002,SMB
2024-03-03,East,Electronics,Smartphone,22,699.99,15399.78,14000,REP003,Enterprise
2024-03-07,West,Clothing,Activewear Set,45,59.99,2699.55,2600,REP004,Consumer
2024-03-12,Central,Home & Garden,Garden Hose,25,29.99,749.75,800,REP005,Consumer
2024-03-15,North,Electronics,Wireless Earbuds,28,89.99,2519.72,2400,REP001,Consumer
2024-03-20,South,Clothing,Winter Boots,18,119.99,2159.82,2000,REP002,SMB
2024-03-24,East,Home & Garden,Plant Stand,30,49.99,1499.70,1500,REP003,Consumer
2024-03-28,West,Electronics,Gaming Console,12,499.99,5999.88,5500,REP004,SMB
2024-04-02,Central,Clothing,Formal Shirt,32,79.99,2559.68,2500,REP005,Enterprise
2024-04-06,North,Home & Garden,Outdoor Umbrella,15,149.99,2249.85,2100,REP001,SMB
2024-04-10,South,Electronics,Monitor,18,249.99,4499.82,4200,REP002,Enterprise
2024-04-14,East,Clothing,Jeans,40,79.99,3199.60,3000,REP003,Consumer
2024-04-18,West,Home & Garden,Watering System,20,89.99,1799.80,1700,REP004,SMB
2024-04-22,Central,Electronics,Keyboard,25,79.99,1999.75,1900,REP005,Consumer
2024-04-26,North,Clothing,Hoodie,38,64.99,2469.62,2400,REP001,Consumer
2024-04-30,South,Home & Garden,Bird Feeder,22,34.99,769.78,800,REP002,Consumer
2024-05-05,East,Electronics,Webcam,28,89.99,2519.72,2300,REP003,SMB
2024-05-09,West,Clothing,Sunglasses,42,59.99,2519.58,2400,REP004,Consumer
2024-05-13,Central,Home & Garden,Garden Gloves,50,12.99,649.50,600,REP005,Consumer
2024-05-17,North,Electronics,Fitness Tracker,33,99.99,3299.67,3100,REP001,Consumer
2024-05-21,South,Clothing,Backpack,27,79.99,2159.73,2000,REP002,SMB
2024-05-25,East,Home & Garden,Fire Pit,7,449.99,3149.93,3000,REP003,SMB
2024-05-29,West,Electronics,Portable Charger,35,39.99,1399.65,1300,REP004,Consumer
2024-06-03,Central,Clothing,Belt,48,29.99,1439.52,1400,REP005,Consumer
2024-06-07,North,Home & Garden,Plant Pot,55,19.99,1099.45,1000,REP001,Consumer
2024-06-11,South,Electronics,Bluetooth Speaker,24,79.99,1919.76,1800,REP002,Consumer
2024-06-15,East,Clothing,Polo Shirt,36,54.99,1979.64,1900,REP003,Consumer
2024-06-19,West,Home & Garden,Outdoor Cushion,28,44.99,1259.72,1200,REP004,SMB
2024-06-23,Central,Electronics,Mouse,40,24.99,999.60,950,REP005,Consumer
2024-06-27,North,Clothing,Rain Jacket,19,89.99,1709.81,1600,REP001,SMB
2024-07-02,South,Home & Garden,Deck Box,9,199.99,1799.91,1700,REP002,SMB
2024-07-06,East,Electronics,USB Cable,60,9.99,599.40,550,REP003,Consumer
2024-07-10,West,Clothing,Baseball Cap,52,24.99,1299.48,1200,REP004,Consumer
2024-07-14,Central,Home & Garden,Lawn Chair,33,69.99,2309.67,2200,REP005,SMB
2024-07-18,North,Electronics,Tablet Stand,21,49.99,1049.79,1000,REP001,SMB
2024-07-22,South,Clothing,Swimwear,44,39.99,1759.56,1700,REP002,Consumer
2024-07-26,East,Home & Garden,Plant Food,70,12.99,909.30,900,REP003,Consumer
2024-07-30,West,Electronics,Wireless Charger,38,34.99,1329.62,1300,REP004,Consumer
2024-08-04,Central,Clothing,T-Shirt,65,19.99,1299.35,1200,REP005,Consumer
2024-08-08,North,Home & Garden,Outdoor Rug,14,89.99,1259.86,1200,REP001,SMB
2024-08-12,South,Electronics,Headphone Stand,19,29.99,569.81,550,REP002,Consumer
2024-08-16,East,Clothing,Denim Jacket,23,89.99,2069.77,2000,REP003,Consumer
2024-08-20,West,Home & Garden,Shade Sail,6,199.99,1199.94,1100,REP004,SMB
2024-08-24,Central,Electronics,Microphone,16,149.99,2399.84,2300,REP005,SMB
2024-08-28,North,Clothing,Scarf,58,24.99,1449.42,1400,REP001,Consumer
2024-09-02,South,Home & Garden,Outdoor Lights,31,49.99,1549.69,1500,REP002,SMB
2024-09-06,East,Electronics,Phone Case,72,14.99,1079.28,1000,REP003,Consumer
2024-09-10,West,Clothing,Gloves,47,19.99,939.53,900,REP004,Consumer
2024-09-14,Central,Home & Garden,Seed Starter Kit,39,19.99,779.61,750,REP005,Consumer

